Generation 27

New highest fitness: 49.602250533069 (species 208)
Population average fitness: 276.07819428571
Population average modified fitness: 9.8100075186897
Mean adjusted fitness: 0.91299390831336
Species 32 sum adjusted fitnesses: 4.1597013909443
Species 46 sum adjusted fitnesses: 2.6926382692997
Species 47 sum adjusted fitnesses: 2.6928280631402
Species 55 sum adjusted fitnesses: 2.6928280631402
Species 58 sum adjusted fitnesses: 2.6926768285217
Species 64 sum adjusted fitnesses: 2.6928280631402
Species 83 sum adjusted fitnesses: 2.6924274286582
Species 103 sum adjusted fitnesses: 2.6926591488491
Species 108 sum adjusted fitnesses: 2.6928280631402
Species 115 sum adjusted fitnesses: 2.6928280631402
Species 117 sum adjusted fitnesses: 2.6923110799291
Species 126 sum adjusted fitnesses: 2.6928280631402
Species 130 sum adjusted fitnesses: 2.6925222586162
Species 133 sum adjusted fitnesses: 2.1303616994506
Species 143 sum adjusted fitnesses: 2.6928280631402
Species 155 sum adjusted fitnesses: 2.6927539956596
Species 162 sum adjusted fitnesses: 3.8902241895448
Species 182 sum adjusted fitnesses: 2.6924167829165
Species 191 sum adjusted fitnesses: 2.8911254137292
Species 192 sum adjusted fitnesses: 2.6927718962856
Species 199 sum adjusted fitnesses: 2.6922798261321
Species 200 sum adjusted fitnesses: 2.1284186515525
Species 207 sum adjusted fitnesses: 1.5642760210467
Species 208 sum adjusted fitnesses: 24.896956622035
Species 211 sum adjusted fitnesses: 2.1302560803576
Species 212 sum adjusted fitnesses: 3.273655143154
Species 218 sum adjusted fitnesses: 34.638492670976
Species 221 sum adjusted fitnesses: 2.6928280631402
Species 222 sum adjusted fitnesses: 3.9588972233716
Species 229 sum adjusted fitnesses: 2.6924590768451
Species 232 sum adjusted fitnesses: 2.6927754056226
Species 233 sum adjusted fitnesses: 2.6928280631402
Species 234 sum adjusted fitnesses: 2.6928280631402
Species 239 sum adjusted fitnesses: 2.6925007928482
Species 241 sum adjusted fitnesses: 2.6927542291419
Species 243 sum adjusted fitnesses: 2.6928280631402
Species 244 sum adjusted fitnesses: 3.8221339216578
Species 245 sum adjusted fitnesses: 2.6924590768451
Species 247 sum adjusted fitnesses: 2.6928280631402
Species 248 sum adjusted fitnesses: 2.1285520420934
Species 249 sum adjusted fitnesses: 2.692743406491
Species 254 sum adjusted fitnesses: 2.6921107358456
Species 256 sum adjusted fitnesses: 2.6928280631402
Species 259 sum adjusted fitnesses: 2.6922264973858
Species 260 sum adjusted fitnesses: 1
Species 261 sum adjusted fitnesses: 3.8210481920603
Species 262 sum adjusted fitnesses: 2.6924308439829
Staleness: 0
Species 32 size: 5 -> 5
Species 46 size: 3 -> 3
Species 47 size: 3 -> 3
Species 55 size: 3 -> 3
Species 58 size: 3 -> 3
Species 64 size: 3 -> 3
Species 83 size: 3 -> 3
Species 103 size: 3 -> 3
Species 108 size: 3 -> 3
Species 115 size: 3 -> 3
Species 117 size: 3 -> 3
Species 126 size: 3 -> 3
Species 130 size: 6 -> 3
Species 133 size: 3 -> 2
Species 143 size: 3 -> 3
Species 155 size: 3 -> 3
Species 162 size: 4 -> 4
Species 182 size: 3 -> 3
Species 191 size: 3 -> 3
Species 192 size: 3 -> 3
Species 199 size: 3 -> 3
Species 200 size: 3 -> 2
Species 207 size: 3 -> 2
Species 208 size: 17 -> 28
Species 211 size: 3 -> 2
Species 212 size: 9 -> 4
Species 218 size: 32 -> 38
Species 221 size: 3 -> 3
Species 222 size: 5 -> 4
Species 229 size: 3 -> 3
Species 232 size: 3 -> 3
Species 233 size: 1 -> 3
Species 234 size: 3 -> 3
Species 239 size: 3 -> 3
Species 241 size: 3 -> 3
Species 243 size: 3 -> 3
Species 244 size: 5 -> 4
Species 245 size: 3 -> 3
Species 247 size: 2 -> 3
Species 248 size: 3 -> 2
Species 249 size: 3 -> 3
Species 254 size: 3 -> 3
Species 256 size: 3 -> 3
Species 259 size: 6 -> 3
Species 260 size: 1 -> 0
Species 261 size: 5 -> 4
Species 262 size: 3 -> 3
Species: 83 creates subspecies 263
Species: 117 creates subspecies 264
Number of species: 47 -> 48
