Generation 38

New highest fitness: 6.5386736353144 (species 255)
Population average fitness: 157.18974178571
Population average modified fitness: 2.5459140209172
Mean adjusted fitness: 0.91834150657334
Species 5 sum adjusted fitnesses: 2.9542138319146
Species 34 sum adjusted fitnesses: 2.6925326154765
Species 83 sum adjusted fitnesses: 2.1302773548856
Species 100 sum adjusted fitnesses: 2.6921636696654
Species 101 sum adjusted fitnesses: 2.6927754055814
Species 103 sum adjusted fitnesses: 2.6928280631402
Species 113 sum adjusted fitnesses: 1.0054288424379
Species 127 sum adjusted fitnesses: 2.9155508675799
Species 129 sum adjusted fitnesses: 1.0054289936771
Species 131 sum adjusted fitnesses: 1.0054286047764
Species 139 sum adjusted fitnesses: 1.0054290584939
Species 144 sum adjusted fitnesses: 1.0054287776212
Species 146 sum adjusted fitnesses: 1.0054286047764
Species 149 sum adjusted fitnesses: 2.6926697285842
Species 154 sum adjusted fitnesses: 1.5642023027709
Species 179 sum adjusted fitnesses: 1
Species 181 sum adjusted fitnesses: 1
Species 183 sum adjusted fitnesses: 1
Species 185 sum adjusted fitnesses: 2.69271221787
Species 187 sum adjusted fitnesses: 1
Species 190 sum adjusted fitnesses: 2.6928280631402
Species 191 sum adjusted fitnesses: 1
Species 197 sum adjusted fitnesses: 1
Species 198 sum adjusted fitnesses: 2.6924063007662
Species 199 sum adjusted fitnesses: 1
Species 201 sum adjusted fitnesses: 1.0054287776212
Species 203 sum adjusted fitnesses: 1
Species 205 sum adjusted fitnesses: 1
Species 211 sum adjusted fitnesses: 1
Species 217 sum adjusted fitnesses: 1
Species 222 sum adjusted fitnesses: 1.0054289936771
Species 227 sum adjusted fitnesses: 2.6925226636323
Species 228 sum adjusted fitnesses: 3.3040673505768
Species 229 sum adjusted fitnesses: 2.6926385007475
Species 237 sum adjusted fitnesses: 2.6926385007475
Species 238 sum adjusted fitnesses: 1.8460553389975
Species 239 sum adjusted fitnesses: 1
Species 241 sum adjusted fitnesses: 2.6928280631402
Species 243 sum adjusted fitnesses: 1.8489489250084
Species 245 sum adjusted fitnesses: 2.9626061655101
Species 249 sum adjusted fitnesses: 2.6928280631402
Species 251 sum adjusted fitnesses: 2.6928280631402
Species 252 sum adjusted fitnesses: 3.0590673695529
Species 253 sum adjusted fitnesses: 2.6927648741932
Species 254 sum adjusted fitnesses: 2.6928280631402
Species 255 sum adjusted fitnesses: 5.8741308259267
Species 257 sum adjusted fitnesses: 2.6928280631402
Species 259 sum adjusted fitnesses: 2.6928280631402
Species 261 sum adjusted fitnesses: 2.6928280631402
Species 263 sum adjusted fitnesses: 1.0054289504659
Species 265 sum adjusted fitnesses: 2.6920324660043
Species 266 sum adjusted fitnesses: 2.6926700935529
Species 267 sum adjusted fitnesses: 2.1303616922488
Species 268 sum adjusted fitnesses: 1.5641108094913
Species 269 sum adjusted fitnesses: 1.0054286047764
Species 272 sum adjusted fitnesses: 2.1281862504183
Species 274 sum adjusted fitnesses: 2.6927121803255
Species 275 sum adjusted fitnesses: 2.692111162431
Species 276 sum adjusted fitnesses: 2.691995499916
Species 277 sum adjusted fitnesses: 2.5743354183025
Species 278 sum adjusted fitnesses: 2.6928280631402
Species 280 sum adjusted fitnesses: 2.692701686729
Species 281 sum adjusted fitnesses: 2.692087452423
Species 285 sum adjusted fitnesses: 2.6924204648085
Species 286 sum adjusted fitnesses: 2.6925324418975
Species 287 sum adjusted fitnesses: 3.6092606099055
Species 289 sum adjusted fitnesses: 2.1303615842208
Species 290 sum adjusted fitnesses: 2.6928280631402
Species 291 sum adjusted fitnesses: 2.692701686729
Species 292 sum adjusted fitnesses: 2.6925542550786
Species 293 sum adjusted fitnesses: 2.6925856550634
Species 295 sum adjusted fitnesses: 2.6927297706368
Species 296 sum adjusted fitnesses: 2.2693919977243
Species 297 sum adjusted fitnesses: 2.692574737643
Species 298 sum adjusted fitnesses: 2.6927648741932
Species 299 sum adjusted fitnesses: 2.6928280631402
Species 300 sum adjusted fitnesses: 1
Species 301 sum adjusted fitnesses: 2.6928280631402
Species 302 sum adjusted fitnesses: 2.6927543428462
Species 304 sum adjusted fitnesses: 2.69234336316
Species 305 sum adjusted fitnesses: 2.6928280631402
Species 306 sum adjusted fitnesses: 2.6594522590041
Species 307 sum adjusted fitnesses: 2.6917426576403
Staleness: 1
Species 5 size: 3 -> 3
Species 34 size: 3 -> 3
Species 83 size: 3 -> 2
Species 100 size: 2 -> 3
Species 101 size: 1 -> 3
Species 103 size: 3 -> 3
Species 113 size: 1 -> 1
Species 127 size: 3 -> 3
Species 129 size: 1 -> 1
Species 131 size: 1 -> 1
Species 139 size: 1 -> 1
Species 144 size: 1 -> 1
Species 146 size: 1 -> 1
Species 149 size: 3 -> 3
Species 154 size: 3 -> 2
Species 179 size: 1 -> 1
Species 181 size: 1 -> 1
Species 183 size: 1 -> 1
Species 185 size: 3 -> 3
Species 187 size: 1 -> 1
Species 190 size: 3 -> 3
Species 191 size: 1 -> 1
Species 197 size: 1 -> 1
Species 198 size: 3 -> 3
Species 199 size: 1 -> 1
Species 201 size: 1 -> 1
Species 203 size: 1 -> 1
Species 205 size: 1 -> 1
Species 211 size: 1 -> 1
Species 217 size: 1 -> 1
Species 222 size: 1 -> 1
Species 227 size: 1 -> 3
Species 228 size: 3 -> 4
Species 229 size: 3 -> 3
Species 237 size: 3 -> 3
Species 238 size: 2 -> 2
Species 239 size: 1 -> 1
Species 241 size: 3 -> 3
Species 243 size: 2 -> 2
Species 245 size: 3 -> 3
Species 249 size: 3 -> 3
Species 251 size: 3 -> 3
Species 252 size: 5 -> 3
Species 253 size: 3 -> 3
Species 254 size: 3 -> 3
Species 255 size: 6 -> 7
Species 257 size: 2 -> 3
Species 259 size: 3 -> 3
Species 261 size: 3 -> 3
Species 263 size: 1 -> 1
Species 265 size: 2 -> 3
Species 266 size: 3 -> 3
Species 267 size: 3 -> 2
Species 268 size: 3 -> 2
Species 269 size: 1 -> 1
Species 272 size: 3 -> 2
Species 274 size: 3 -> 3
Species 275 size: 3 -> 3
Species 276 size: 1 -> 3
Species 277 size: 3 -> 3
Species 278 size: 3 -> 3
Species 280 size: 3 -> 3
Species 281 size: 3 -> 3
Species 285 size: 3 -> 3
Species 286 size: 3 -> 3
Species 287 size: 4 -> 4
Species 289 size: 3 -> 2
Species 290 size: 3 -> 3
Species 291 size: 2 -> 3
Species 292 size: 3 -> 3
Species 293 size: 3 -> 3
Species 295 size: 3 -> 3
Species 296 size: 4 -> 2
Species 297 size: 3 -> 3
Species 298 size: 3 -> 3
Species 299 size: 3 -> 3
Species 300 size: 1 -> 1
Species 301 size: 3 -> 3
Species 302 size: 3 -> 3
Species 304 size: 3 -> 3
Species 305 size: 3 -> 3
Species 306 size: 6 -> 3
Species 307 size: 2 -> 3
Species: 251 creates subspecies 308
Species: 198 creates subspecies 309
Species: 228 creates subspecies 310
Species: 149 creates subspecies 311
Number of species: 83 -> 86
